Crosswalk of Popular Vote (popV) annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Ellen M. Quardokus,Aleix Puig-Barbe,,,,
mammary gland,UBERON:0001911,T cell,PV:0000180,T cell,CL:0000084,skos:exactMatch
mammary gland,UBERON:0001911,basal cell,PV:0000181,basal cell,CL:0000646,skos:exactMatch
mammary gland,UBERON:0001911,endothelial cell of artery,PV:0000182,endothelial cell of artery,CL:1000413,skos:exactMatch
mammary gland,UBERON:0001911,endothelial cell of lymphatic vessel,PV:0000183,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
mammary gland,UBERON:0001911,fibroblast of breast,PV:0000184,fibroblast of breast,CL:4006000,skos:exactMatch
mammary gland,UBERON:0001911,luminal epithelial cell of mammary gland,PV:0000185,luminal epithelial cell of mammary gland,CL:0002326,skos:exactMatch
mammary gland,UBERON:0001911,macrophage,PV:0000186,macrophage,CL:0000235,skos:exactMatch
mammary gland,UBERON:0001911,mast cell,PV:0000187,mast cell,CL:0000097,skos:exactMatch
mammary gland,UBERON:0001911,mature NK T cell,PV:0000188,mature NK T cell,CL:0000814,skos:exactMatch
mammary gland,UBERON:0001911,pericyte,PV:0000189,pericyte,CL:0000669,skos:exactMatch
mammary gland,UBERON:0001911,plasma cell,PV:0000190,plasma cell,CL:0000786,skos:exactMatch
mammary gland,UBERON:0001911,vascular associated smooth muscle cell,PV:0000191,vascular associated smooth muscle cell,CL:0000359,skos:exactMatch
mammary gland,UBERON:0001911,vein endothelial cell,PV:0000192,vein endothelial cell,CL:0002543,skos:exactMatch
mesenteric lymph node,UBERON:0002509,B cell,PV:0000193,B cell,CL:0000236,skos:exactMatch
mesenteric lymph node,UBERON:0002509,CD141-positive myeloid dendritic cell,PV:0000194,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
mesenteric lymph node,UBERON:0002509,CD1c-positive myeloid dendritic cell,PV:0000195,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
mesenteric lymph node,UBERON:0002509,T cell,PV:0000196,T cell,CL:0000084,skos:exactMatch
mesenteric lymph node,UBERON:0002509,classical monocyte,PV:0000197,classical monocyte,CL:0000860,skos:exactMatch
mesenteric lymph node,UBERON:0002509,"effector CD4-positive, alpha-beta T cell",PV:0000198,"effector CD4-positive, alpha-beta T cell",CL:0001044,skos:exactMatch
mesenteric lymph node,UBERON:0002509,"effector CD8-positive, alpha-beta T cell",PV:0000199,"effector CD8-positive, alpha-beta T cell",CL:0001050,skos:exactMatch
mesenteric lymph node,UBERON:0002509,endothelial cell,PV:0000200,endothelial cell,CL:0000115,skos:exactMatch
mesenteric lymph node,UBERON:0002509,erythrocyte,PV:0000201,erythrocyte,CL:0000232,skos:exactMatch
mesenteric lymph node,UBERON:0002509,hematopoietic stem cell,PV:0000202,hematopoietic stem cell,CL:0000037,skos:exactMatch
mesenteric lymph node,UBERON:0002509,innate lymphoid cell,PV:0000203,innate lymphoid cell,CL:0001065,skos:exactMatch
mesenteric lymph node,UBERON:0002509,intermediate monocyte,PV:0000204,intermediate monocyte,CL:0002393,skos:exactMatch
mesenteric lymph node,UBERON:0002509,macrophage,PV:0000205,macrophage,CL:0000235,skos:exactMatch
mesenteric lymph node,UBERON:0002509,mast cell,PV:0000206,mast cell,CL:0000097,skos:exactMatch
