Peripheral Nervous System Organ Crosswalk,,,,,,,,,,,,
,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Ilias Ziogas; Fahim Imam,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-9210-2455; 0000-0003-4752-543X,,,,,,,,,,,
Reviewer(s):,Griffin Weber,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM446.ZZZN.837,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,
Nerve,NerveID,Relationship,BodySubPart,BodySubPartID,BodySubPartSequence,BodyPart,BodyPartID,FTU,FTULabel,FTUID,Angiosome,AngiosomeID
branch of posterior interosseous nerve,FMA:80285,innervates,extensor pollicis longus muscle,UBERON:0003234,999,muscular system,UBERON:0000383,,,,,
nerve to extensor pollicis longus,FMA:80289,innervates,extensor pollicis longus muscle,UBERON:0003234,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,extensor pollicis longus muscle,UBERON:0003234,999,muscular system,UBERON:0000383,,,,,
intercostal nerve,UBERON:0003727,innervates,external intercostal muscle,UBERON:0005441,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,flexor carpi radialis muscle,UBERON:0001521,999,muscular system,UBERON:0000383,,,,,
nerve to flexor carpi radialis,FMA:44824,innervates,flexor carpi radialis muscle,UBERON:0001521,999,muscular system,UBERON:0000383,,,,,
nerve to flexor carpi ulnaris,FMA:81220,innervates,flexor carpi ulnaris muscle,UBERON:0001522,999,muscular system,UBERON:0000383,,,,,
ulnar nerve,UBERON:0001494,innervates,flexor carpi ulnaris muscle,UBERON:0001522,999,muscular system,UBERON:0000383,,,,,
nerve to flexor digiti minimi brevis of hand,FMA:80258,innervates,flexor digiti minimi brevis of hand,UBERON:0036174,999,muscular system,UBERON:0000383,,,,,
ulnar nerve,UBERON:0001494,innervates,flexor digiti minimi brevis of hand,UBERON:0036174,999,muscular system,UBERON:0000383,,,,,
branch of ulnar nerve to flexor digitorum profundus,FMA:65351,innervates,flexor digitorum profundus,UBERON:0001523,999,muscular system,UBERON:0000383,,,,,
nerve to flexor carpi ulnaris,FMA:81220,innervates,flexor digitorum profundus,UBERON:0001523,999,muscular system,UBERON:0000383,,,,,
anterior interosseous nerve,FMA:44822,innervates,flexor digitorum profundus muscle,UBERON:0001523,999,muscular system,UBERON:0000383,,,,,
branch of anterior interosseous nerve to flexor digitorum profundus,FMA:81216,innervates,flexor digitorum profundus muscle,UBERON:0001523,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,flexor digitorum profundus muscle,UBERON:0001523,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,flexor digitorum superficialis muscle,UBERON:0003222,999,muscular system,UBERON:0000383,,,,,
nerve to flexor digitorum superficialis,FMA:44826,innervates,flexor digitorum superficialis muscle,UBERON:0003222,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,flexor pollicis brevis muscle,UBERON:0011012,999,muscular system,UBERON:0000383,,,,,
nerve to superficial head of flexor pollicis brevis,FMA:80267,innervates,flexor pollicis brevis muscle,UBERON:0011012,999,muscular system,UBERON:0000383,,,,,
palmar branch of median nerve,UBERON:0016430,innervates,flexor pollicis brevis muscle,UBERON:0011012,999,muscular system,UBERON:0000383,,,,,
anterior interosseous nerve,FMA:44822,innervates,flexor pollicis longus muscle,UBERON:0008446,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,flexor pollicis longus muscle,UBERON:0008446,999,muscular system,UBERON:0000383,,,,,
nerve to flexor pollicis longus,FMA:44830,innervates,flexor pollicis longus muscle,UBERON:0008446,999,muscular system,UBERON:0000383,,,,,
nerve to infraspinatus muscle,FMA:81314,innervates,infraspinatus muscle,UBERON:0001477,999,muscular system,UBERON:0000383,,,,,
suprascapular nerve,FMA:37025,innervates,infraspinatus muscle,UBERON:0001477,999,muscular system,UBERON:0000383,,,,,
intercostal nerve,UBERON:0003727,innervates,innermost intercostal muscle,UBERON:0008617,999,muscular system,UBERON:0000383,,,,,
intercostal nerve,UBERON:0003727,innervates,internal intercostal muscle,UBERON:0002403,999,muscular system,UBERON:0000383,,,,,
branch of posterior muscular branch of radial nerve to lateral head of triceps brachii,FMA:65330,innervates,lateral head of triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
nerve to latissimus dorsi,FMA:81258,innervates,latissimus dorsi muscle,UBERON:0001112,999,muscular system,UBERON:0000383,,,,,
nerve to latissimus dorsi (1),FMA:81355,innervates,latissimus dorsi muscle,UBERON:0001112,999,muscular system,UBERON:0000383,,,,,
nerve to latissimus dorsi (2),FMA:81356,innervates,latissimus dorsi muscle,UBERON:0001112,999,muscular system,UBERON:0000383,,,,,
nerve to latissimus dorsi (n),FMA:81357,innervates,latissimus dorsi muscle,UBERON:0001112,999,muscular system,UBERON:0000383,,,,,
thoracodorsal nerve,FMA:65290,innervates,latissimus dorsi muscle,UBERON:0001112,999,muscular system,UBERON:0000383,,,,,
dorsal scapular nerve,FMA:65279,innervates,levator scapulae muscle,UBERON:0005461,999,muscular system,UBERON:0000383,,,,,
branch of musculocutaneous nerve to long head of biceps brachii,FMA:81239,innervates,long head of biceps brachii muscle,FMA:37683,999,muscular system,UBERON:0000383,,,,,
branch of medial muscular branch of radial nerve to long head of triceps brachii,FMA:81198,innervates,long head of triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,lumbrical muscle of manus,UBERON:0001501,999,muscular system,UBERON:0000383,,,,,
ulnar nerve,UBERON:0001494,innervates,lumbrical muscle of manus,UBERON:0001501,999,muscular system,UBERON:0000383,,,,,
branch of posterior muscular branch of radial nerve to medial head of triceps brachii,FMA:65329,innervates,medial head of triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
nerve to opponens digiti minimi,FMA:80255,innervates,opponens digiti minimi of hand,UBERON:0036176,999,muscular system,UBERON:0000383,,,,,
ulnar nerve,UBERON:0001494,innervates,opponens digiti minimi of hand,UBERON:0036176,999,muscular system,UBERON:0000383,,,,,
branch of median nerve to opponens pollicis,FMA:80273,innervates,opponens pollicis,,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,opponens pollicis,,999,muscular system,UBERON:0000383,,,,,
palmar branch of median nerve,UBERON:0016430,innervates,opponens pollicis,,999,muscular system,UBERON:0000383,,,,,
nerve to first palmar interosseous of hand,FMA:80243,innervates,palmar interosseous muscle of manus,UBERON:0006505,999,muscular system,UBERON:0000383,,,,,
nerve to fourth palmar interosseous of hand,FMA:80252,innervates,palmar interosseous muscle of manus,UBERON:0006505,999,muscular system,UBERON:0000383,,,,,
nerve to second palmar interosseous of hand,FMA:80246,innervates,palmar interosseous muscle of manus,UBERON:0006505,999,muscular system,UBERON:0000383,,,,,
nerve to third palmar interosseous of hand,FMA:80249,innervates,palmar interosseous muscle of manus,UBERON:0006505,999,muscular system,UBERON:0000383,,,,,
ulnar nerve,UBERON:0001494,innervates,palmar interosseous muscle of manus,UBERON:0006505,999,muscular system,UBERON:0000383,,,,,
nerve to palmaris brevis,FMA:44906,innervates,palmaris brevis,UBERON:0036172,999,muscular system,UBERON:0000383,,,,,
ulnar nerve,UBERON:0001494,innervates,palmaris brevis,UBERON:0036172,999,muscular system,UBERON:0000383,,,,,
median nerve,UBERON:0001148,innervates,palmaris longus muscle,UBERON:0016493,999,muscular system,UBERON:0000383,,,,,
nerve to palmaris longus,FMA:44825,innervates,palmaris longus muscle,UBERON:0016493,999,muscular system,UBERON:0000383,,,,,
branch of lateral pectoral nerve,FMA:81246,innervates,pectoralis major,UBERON:0002381,999,muscular system,UBERON:0000383,,,,,
branch of lateral pectoral nerve to clavicular part of pectoralis major,FMA:81247,innervates,pectoralis major,UBERON:0002381,999,muscular system,UBERON:0000383,,,,,
branch of lateral pectoral nerve to sternocostal part of pectoralis major,FMA:81330,innervates,pectoralis major,UBERON:0002381,999,muscular system,UBERON:0000383,,,,,
branch of medial pectoral nerve to clavicular part of pectoralis major,FMA:81260,innervates,pectoralis major,UBERON:0002381,999,muscular system,UBERON:0000383,,,,,
