Musculoskeletal Crosswalk,,,,,,,,,,,,,
,,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Griffin Weber,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-2597-881X,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM693.NGDL.755,,,,,,,,,,,,
Date:,"March 7, 2025",,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,
Structure1Name,Structure1ID,Structure1Type,Relationship,Relationship2,Structure2Name,Structure2ID,Structure2Type,JointName,JointLabel,JointID,JoiningStructureName,JoiningStructureLabel,JoiningStructureID
palmaris brevis muscle,UBERON:0036172,muscle,attached_to,has_muscle_insertion,skin of palm,,skin,,,,,,
palmaris longus muscle,UBERON:0016493,muscle,attached_to,has_muscle_insertion,flexor retinaculum,,fascia,,,,,,
palmaris longus muscle,UBERON:0016493,muscle,attached_to,has_muscle_origin,medial epicondyle of humerus,FMA:23441,bone,,,,,,
palmaris longus muscle,UBERON:0016493,muscle,attached_to,has_muscle_insertion,palmar aponeurosis,,fascia,,,,,,
pronator quadratus muscle,FMA:38453,muscle,attached_to,has_muscle_insertion,shaft of radius,,bone,,,,,,
pronator quadratus muscle,FMA:38453,muscle,attached_to,has_muscle_origin,shaft of ulna,,bone,,,,,,
pronator teres muscle,FMA:38450,muscle,attached_to,has_muscle_insertion,shaft of radius,,bone,,,,,,
radial head of flexor digitorum superficialis muscle,FMA:38637,muscle,attached_to,has_muscle_origin,shaft of radius,,bone,,,,,,
second dorsal interosseous muscle,,muscle,attached_to,has_muscle_insertion,base of third proximal phalanx of hand,FMA:37511,bone,,,,,,
second dorsal interosseous muscle,,muscle,attached_to,has_muscle_insertion,extensor expansion of 3rd digit,,fascia,,,,,,
second dorsal interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of second metacarpal bone,FMA:42872,bone,,,,,,
second dorsal interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of third metacarpal bone,FMA:42875,bone,,,,,,
second lumbrical,,muscle,attached_to,has_muscle_origin,2nd tendon of flexor digitorum profundus,,tendon,,,,,,
second lumbrical,,muscle,attached_to,has_muscle_insertion,extensor expansion of 3rd digit,,fascia,,,,,,
second palmar interosseous muscle,,muscle,attached_to,has_muscle_insertion,base of fourth proximal phalanx of hand,FMA:37523,bone,,,,,,
second palmar interosseous muscle,,muscle,attached_to,has_muscle_insertion,extensor expansion of 4th digit,,fascia,,,,,,
second palmar interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of fourth metacarpal bone,FMA:42878,bone,,,,,,
short head of biceps brachii muscle,FMA:37682,muscle,attached_to,has_muscle_origin,coracoid process of scapula,UBERON:0006633,bone,,,,,,
spinal part of deltoid muscle,FMA:34679,muscle,attached_to,has_muscle_origin,scapular spine of scapula,,bone,,,,,,
subscapularis muscle,UBERON:0001129,muscle,attached_to,has_muscle_insertion,lesser tubercle of humerus,UBERON:0011188,bone,,,,,,
subscapularis muscle,UBERON:0001129,muscle,attached_to,has_muscle_origin,subscapular fossa of scapula,,bone,,,,,,
superficial head of flexor pollicis brevis muscle,FMA:46104,muscle,attached_to,has_muscle_origin,flexor retinaculum,,fascia,,,,,,
superficial head of flexor pollicis brevis muscle,FMA:46104,muscle,attached_to,has_muscle_origin,tubercle of trapezium,,bone,,,,,,
supinator muscle,UBERON:0003228,muscle,attached_to,has_muscle_origin,anular ligament,,ligament,,,,,,
supinator muscle,UBERON:0003228,muscle,attached_to,has_muscle_origin,lateral epicondyle of humerus,FMA:23442,bone,,,,,,
