node_id,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Double_Positive_Alpha_Beta_Thymocyte_145,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_146,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_147,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_148,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_149,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_150,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_151,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_152,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_153,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_154,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_155,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_156,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_157,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_158,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_159,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_160,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_161,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_162,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_163,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_164,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_165,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_166,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_167,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_168,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_169,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_170,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Subcapsular_Thymocytes_1,thymus subcapsular epithelium,UBERON:0006936,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Subcapsular_Thymocytes_2,thymus subcapsular epithelium,UBERON:0006936,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Subcapsular_Thymocytes_3,thymus subcapsular epithelium,UBERON:0006936,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
