"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping v1.0",,,,,,
,,,,,,
Author Name(s):,"Quardokus, E., Browne, K., Bueckle, A., Herr II, B., Börner, K.",,,,,
Author ORCID(s):,"0000-0001-7655-4833, 0000-0003-4066-7531, 0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
General Publication(s):,https://www.biorxiv.org/content/10.1101/2021.05.31.446440v1,,,,,
Data DOI:,10.48539/HBM527.RCXM.366,,,,,
Date:,7/28/2021,,,,,
Version Number:,v1.0,,,,,
,,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,glb file of single organs
#VHFVasculature,#VHFemaleOrgans,VHF_inferior_vena_cava,inferior vena cava,fma:fma:10951,http://purl.org/sig/ont/fma/fma10951,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_inferior_vena_cava_a,inferior vena cava,fma:fma:10951,http://purl.org/sig/ont/fma/fma10951,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_inferior_vena_cava_b,inferior vena cava,fma:fma:10951,http://purl.org/sig/ont/fma/fma10951,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_inferior_pancreaticoduodenal_vein,Inferior pancreaticoduodenal vein,fma:fma0329299,http://purl.org/sig/ont/fma/fma0329299,
#VHFHeart,#VHFemaleOrgans,VHF_heart,heart,UBERON:0000948,http://purl.obolibrary.org/obo/UBERON_0000948,VH_F_Heart_v1.0
#VHFHeart,#VHFemaleOrgans,VHF_cardiac_chamber,,,,
#VHFHeart,#VHFemaleOrgans,VHF_interventricular_septum,interventricular septum,UBERON:0002094,http://purl.obolibrary.org/obo/UBERON_0002094,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_left_cardiac_atrium,left cardiac atrium,UBERON:0002079,http://purl.obolibrary.org/obo/UBERON_0002079,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_left_ventricle,heart left ventricle,UBERON:0002084,http://purl.obolibrary.org/obo/UBERON_0002084,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_right_cardiac_atrium,right cardiac atrium,UBERON:0002078,http://purl.obolibrary.org/obo/UBERON_0002078,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_right_ventricle,heart right ventricle,UBERON:0002080,http://purl.obolibrary.org/obo/UBERON_0002080,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_papillary_muscle_of_heart,papillary muscle of heart,UBERON:0002494,http://purl.obolibrary.org/obo/UBERON_0002494,
#VHFHeart,#VHFemaleOrgans,VHF_papillary_muscle_of_heart_ant,Anterior papillary muscle of left ventricle,fma:fma7264,http://purl.org/sig/ont/fma/fma7264,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_papillary_muscle_of_heart_antlat,Anterolateral head of lateral papillary muscle of left ventricle,fma:fma7265,http://purl.org/sig/ont/fma/fma7265,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_papillary_muscle_of_heart_med,Septal papillary muscle of right ventricle,fma:fma7262,http://purl.org/sig/ont/fma/fma7262,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_papillary_muscle_of_heart_pos,Posterior papillary muscle of right ventricle,fma:fma7261,http://purl.org/sig/ont/fma/fma7261,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_papillary_muscle_of_heart_posmed,Posteromedial head of posterior papillary muscle of left ventricle,fma:fma7267,http://purl.org/sig/ont/fma/fma7267,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_valve,valve,UBERON:0003978,http://purl.obolibrary.org/obo/UBERON_0003978,
#VHFHeart,#VHFemaleOrgans,VHF_aortic_valve,aortic valve,UBERON:0002137,http://purl.obolibrary.org/obo/UBERON_0002137,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_pulmonary_valve,pulmonary valve,UBERON:0002146,http://purl.obolibrary.org/obo/UBERON_0002146,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_mitral_valve,mitral valve,UBERON:0002135,http://purl.obolibrary.org/obo/UBERON_0002135,VH_F_Heart.glb
#VHFHeart,#VHFemaleOrgans,VHF_tricuspid_valve,tricuspid valve,UBERON:0002134,http://purl.obolibrary.org/obo/UBERON_0002134,VH_F_Heart.glb
#VHFIntegumentarySystem,#VHFemaleOrgans,VHF_integumentary_system,integumentary system layer,UBERON:0013754,http://purl.obolibrary.org/obo/UBERON_0013754,
#VHFSkin,#VHFemaleOrgans,VHF_skin,skin of body,UBERON:0002097,http://purl.obolibrary.org/obo/UBERON_0002097,VH_F_Skin
#VHFNervousSystem,#VHFemaleOrgans,VHF_nervous_system,central nervous system,UBERON:0001017,http://purl.obolibrary.org/obo/UBERON_0001017,
#VHFAllenBrain,#VHFemaleOrgans,Allen_brain,brain,UBERON:0000955,http://purl.obolibrary.org/obo/UBERON_0000955,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_hemisphere_L,left cerebral hemisphere,UBERON:0002812,http://purl.obolibrary.org/obo/UBERON_0002812,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_olfactory_bulb_L,olfactory bulb,UBERON:0002264,http://purl.obolibrary.org/obo/UBERON_0002264,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_olfactory_nucleus_L,anterior olfactory nucleus,UBERON:0002266,http://purl.obolibrary.org/obo/UBERON_0002266,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_piriform_region_L,piriform cortex,UBERON:0004725,http://purl.obolibrary.org/obo/UBERON_0004725,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontal_agranular_insular_cortex_area_Fl_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_temporal_agranular_insular_cortex_area_Tl_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_head_of_caudate_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_body_of_caudate_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_tail_of_caudate_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_putamen_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_nucleus_accumbens_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_external_segment_of_globus_pallidus_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_internal_segment_of_globus_pallidus_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_claustrum_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_basal_forebrain_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_septal_nuclei_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_amygdaloid_complex_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_amygdaloid_area_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_central_nuclear_group_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_nucleus_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_basolateral_nucleus_basal_nucleus_L,,,,Allen_F_Brain.glb
#VHFAllenBrain,#VHFemaleOrgans,Allen_basomedial_nucleus_accessory_basal_nucleus_L,,,,Allen_F_Brain.glb
