"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping",,,,,,,
,,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,,
Reviewer(s):,,,,,,,
Reviewer ORCID(s):,,,,,,,
General Publication(s):,"Borner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. ""Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas."" Nature Cell Biology 23 (11): 1117-28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,,
Data DOI:,https://doi.org/10.48539/HBM224.QJKZ.987,,,,,,
Date:,6/15/24,,,,,,
Version Number:,v1.6,,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,node_type,glb file of single organs
#VHFAllenBrain,#VHFemaleOrgans,Allen_brain_hemisphere_L,left cerebral hemisphere,UBERON:0002812,http://purl.obolibrary.org/obo/UBERON_0002812,organizational,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_olfactory_bulb_L,olfactory bulb,UBERON:0002264,http://purl.obolibrary.org/obo/UBERON_0002264,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_olfactory_nucleus_L,anterior olfactory nucleus,UBERON:0002266,http://purl.obolibrary.org/obo/UBERON_0002266,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_piriform_region_L,piriform cortex,UBERON:0004725,http://purl.obolibrary.org/obo/UBERON_0004725,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontal_agranular_insular_cortex_area_Fl_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_temporal_agranular_insular_cortex_area_Tl_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_head_of_caudate_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_body_of_caudate_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_tail_of_caudate_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_putamen_L,left putamen,UBERON:0008884,http://purl.obolibrary.org/obo/UBERON_0008884,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_nucleus_accumbens_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_external_segment_of_globus_pallidus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_internal_segment_of_globus_pallidus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_claustrum_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basal_forebrain_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_septal_nuclei_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_amygdaloid_complex_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_amygdaloid_area_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_central_nuclear_group_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basolateral_nucleus_basal_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_basomedial_nucleus_accessory_basal_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_cortical_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_cortical_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_amygdalohippocampal_area_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_bed_nucleus_of_stria_terminalis_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_nuclear_complex_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_dorsal_nucleus_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_mediodorsal_nucleus_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_posterior_nucleus_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pulvinar_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_anterior_nucleus_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_lateral_nucleus_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_posterior_lateral_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_ventral_posterior_medial_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_dorsal_lateral_geniculate_nucleus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_geniculate_nuclei_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_centromedian_nucleus_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_parafascicular_nucleus_of_thalamus_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_habenular_nuclei_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_pineal_body_L,pineal body,UBERON:0001905,http://purl.obolibrary.org/obo/UBERON_0001905,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_zona_incerta_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_supraoptic_region_of_HTH_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_preoptic_region_of_HTH_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_tuberal_region_of_HTH_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_white_matter_of_forebrain_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_commissure_L,anterior commissure,UBERON:0000935,http://purl.obolibrary.org/obo/UBERON_0000935,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_corpus_callosum_L,corpus callosum,UBERON:0002336,http://purl.obolibrary.org/obo/UBERON_0002336,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_fornix_L,fornix of brain,UBERON:0000052,http://purl.obolibrary.org/obo/UBERON_0000052,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_mammillothalamic_tract_L,-,-,-,mesh,3d-allen-f-brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_optic_tract_L,optic tract,UBERON:0001908,http://purl.obolibrary.org/obo/UBERON_0001908,mesh,3d-allen-f-brain
